,Dec 2005,
Gm,Date,Opponent,Score,Min,Pts,ORb,DRb,Reb,Ast,Stl,Blk,TO,PF,FGM/A,3PM/A,FTM/A,
14,Dec. 02,vs. Nuggets,W 		 102 - 97,38,21,0,3,3,10,1,0,7,3,9,-,14,1,-,2,2,-,3,
15,Dec. 04,vs. Hawks,W 		 112 - 94,27,10,2,2,4,7,2,0,3,3,3,-,8,1,-,3,3,-,4,
16,Dec. 06,vs. Trail Blazers,W 		 130 - 85,30,14,3,2,5,12,0,1,2,1,5,-,9,2,-,5,2,-,2,
17,Dec. 07,@ Warriors,W 		 118 - 110,39,28,0,2,2,14,2,0,4,2,9,-,19,0,-,4,10,-,10,
18,Dec. 09,vs. Knicks,W 		 85 - 81,36,19,0,4,4,9,0,0,2,1,7,-,14,3,-,4,2,-,2,
19,Dec. 10,@ Clippers,L 		 91 - 101,35,16,1,3,4,11,0,0,3,2,5,-,12,0,-,1,6,-,6,
20,Dec. 12,vs. Hornets,L 		 87 - 91,37,14,0,2,2,16,1,1,6,0,5,-,13,3,-,5,1,-,1,
21,Dec. 14,@ Mavericks,L 		 96 - 102,40,20,0,3,3,5,0,0,1,3,6,-,18,1,-,3,7,-,7,
22,Dec. 16,@ Hornets,W 		 101 - 88,39,18,0,7,7,9,0,0,4,2,8,-,20,1,-,6,1,-,1,
23,Dec. 17,@ Grizzlies,L 		 87 - 91,40,19,1,6,7,6,0,0,6,3,7,-,10,5,-,6,0,-,0,
24,Dec. 20,vs. Supersonics,W 		 111 - 83,27,5,1,4,5,8,1,0,2,1,2,-,9,1,-,5,0,-,0,
25,Dec. 23,vs. Wizards,L 		 111 - 112,36,27,1,3,4,9,0,0,2,1,8,-,17,4,-,8,7,-,9,
26,Dec. 26,@ Timberwolves,W 		 103 - 89,42,24,1,5,6,12,0,1,6,0,9,-,15,2,-,6,4,-,4,
27,Dec. 28,@ Wizards,W 		 104 - 99,41,19,1,3,4,16,1,0,3,2,6,-,13,0,-,3,7,-,7,
28,Dec. 30,@ Bobcats,W 		 110 - 100,39,24,1,4,5,13,4,0,5,3,7,-,13,0,-,2,10,-,11,
29,Dec. 31,@ Bulls,W 		 107 - 98OT,42,14,0,8,8,10,1,0,2,2,4,-,10,0,-,2,6,-,6,
